User_ID,Browsing_Hours_Weekday,Browsing_Hours_Weekend,Data_Usage_MB,App_Categories_Used
-4.45266319649053e+18,4.89,8.11,1943.0,Mixed
-8.188520293638313e+17,5.87,6.77,1047.0,Shopping
-2.9275335641575674e+17,7.83,3.55,2951.0,Streaming
7.509002666944287e+18,3.38,8.53,2490.0,Social Media
4.891505550155401e+18,1.44,6.39,2183.0,Social Media
-3.3249618572873713e+18,3.71,2.36,3315.0,Social Media
1.95583089038703e+18,4.22,2.81,1270.0,Gaming
8.002322137623065e+18,3.64,4.6,4710.0,This is free text for App_Categories_Used
8.84703157680893e+18,4.86,2.21,554.0,Shopping
4.6236808352659136e+17,1.09,8.92,3143.0,Social Media
-3.5402207757102003e+18,4.57,7.23,4568.0,Shopping
-1.729996948287944e+18,1.78,5.58,4254.0,Mixed
6.189765984303721e+18,2.91,1.33,4242.0,Social Media
-3.02220646204036e+18,1.78,4.16,47449.0,Mixed
3.2354783795909524e+18,4.53,8.76,3390.0,Social Media
2.3490405584576753e+18,6.19,3.74,731.0,Social Media
-1.8476237357809088e+18,2.41,8.74,3229.0,Shopping
-8.706109993441234e+18,6.64,8.45,2627.0,Streaming
-2.7572494934526623e+18,3.81,3.07,1302.0,Shopping
-3.168400725204928e+18,7.6,3.26,447.0,Mixed
7.054023847346521e+18,2.44,7.25,3463.0,Shopping
-2.637437305722164e+18,4.46,2.85,1162.0,Shopping
-4.1201389377044675e+18,2.51,2.65,4210.0,Mixed
1.1605146083931932e+18,2.26,9.65,2358.0,Mixed
3.547491741567946e+18,6.12,1.1,3998.0,Social Media
-9.180320082153111e+18,5.77,9.59,4704.0,Mixed
-7.519310213278246e+18,6.05,1.39,1894.0,Shopping
3.24080659776456e+18,7.85,6.51,2108.0,Mixed
-3.2060563223768125e+18,2.61,1.11,3584.0,Streaming
-4.634683057338066e+18,5.13,1.74,3216.0,Mixed
8.10427406871224e+18,7.18,3.21,4475.0,Mixed
-6.876669036290037e+18,5.91,8.62,1269.0,Shopping
2.1734956077574487e+18,2.65,6.37,,Gaming
5.874043961768915e+18,1.64,9.79,3882.0,Streaming
-7.414733251450053e+18,5.08,3.52,1913.0,Mixed
3.2489564770020506e+18,1.94,7.23,435.0,Social Media
-4.63122163655405e+18,4.66,2.97,729.0,Shopping
-5.169494430255179e+18,6.52,4.3,862.0,Social Media
6.107515569174889e+18,5.62,1.08,2071.0,Social Media
-7.719932551191198e+18,1.95,1.67,700.0,Mixed
2.6262799335311933e+18,6.8,5.62,990.0,Social Media
-6.588378237492739e+17,2.94,9.77,4157.0,Gaming
2.314064598883573e+18,4.65,9.45,1337.0,Social Media
-2.3462616927968256e+18,7.38,9.76,3625.0,Social Media
-9.83317751706538e+17,6.78,-7.01,4745.0,Social Media
-8.650558846027387e+18,,2.38,95621.0,Gaming
-8.617761616202227e+18,4.11,2.86,4752.0,Social Media
-5.767698590127101e+18,1.99,9.94,1346.0,Social Media
-4.306569696342826e+18,6.53,7.25,3421.0,This is free text for App_Categories_Used
-8.214499541813377e+18,3.55,9.76,2957.0,Mixed
-1.6141104685852918e+18,5.78,2.72,1925.0,Streaming
7.899986244989024e+18,1.56,5.49,2187.0,Shopping
4.259216393086297e+16,3.58,9.87,780.0,Gaming
-6.763145535925563e+18,7.23,2.3,1270.0,Shopping
1.1111963517477257e+18,7.12,1.39,3636.0,Streaming
-5.557240307927154e+18,4.6,9.64,4447.0,Streaming
2.913778363152198e+17,2.67,1.62,1784.0,Streaming
4.697846327488098e+18,1.39,4.37,477.0,Mixed
5.129651126996771e+18,4.13,,73178.0,Social Media
5.213489764583686e+17,2.22,6.98,1050.0,Gaming
-5.6101470847359885e+17,5.05,1.27,368.0,Gaming
5351076355129641.0,2.98,7.11,2091.0,Streaming
-2.7346877455941053e+18,4.92,1.59,3993.0,Shopping
-5.30831758835606e+18,,8.49,861.0,Gaming
-8.229974318700956e+18,5.65,4.66,4134.0,Shopping
6.701463051796443e+18,2.54,6.46,710.0,Streaming
-6.225021789893599e+18,4.49,4.07,2857.0,Shopping
-3.3887825901396224e+18,6.84,2.68,1241.0,Streaming
-7.442768217405126e+18,2.76,3.43,3636.0,Gaming
-3.273857914532918e+18,3.14,1.6,4596.0,Mixed
4.3129162822235965e+18,1.35,7.68,4763.0,Gaming
2.913778363152198e+17,5.26,9.88,860.0,Social Media
2.913778363152198e+17,7.45,5.58,409.0,Gaming
-8.750384271601024e+18,7.73,2.38,3660.0,Shopping
9.080366457110812e+18,1.87,4.64,1733.0,Shopping
-3.486803559636201e+17,,4.8,4257.0,Gaming
-7.657616096417554e+18,6.31,4.97,4665.129753457636,Medios sociales
8.230337592665942e+18,7.11,8.68,4275.0,Social Media
4.426847077959994e+18,4.93,3.79,1145.0,Social Media
-4.0865266399741983e+18,7.76,7.42,2465.0,Shopping
-7.198119366531889e+18,2.34,9.01,2390.0,Social Media
-6.062074850194815e+18,,4.47,,Streaming
5.72436644289477e+18,2.91,5.75,4553.0,Mixed
2.913778363152198e+17,7.05,9.47,3256.0,Social Media
9.973083043566085e+17,6.86,3.25,4604.0,Shopping
6.590957786731419e+18,1.84,9.36,3662.0,Mixed
6.973360608262955e+18,3.7,3.12,3380.0,Shopping
-7.703239401251543e+18,7.53,3.16,4382.0,Streaming
7.269322217679597e+18,1.51,5.46,3734.0,Shopping
4.951683964339634e+18,2.84,1.46,4175.0,Gaming
-3.6765812084184576e+18,7.05,4.66,986.0,Social Media
-6.976382395500303e+18,54.07,9.2,1252.0,Gaming
8.662668152383241e+18,7.42,1.22,1562.0,Social Media
-9.164733293907314e+17,1.1,2.1,3468.0,Social Media
-6.549158485244105e+18,7.27,,3369.0,Gaming
-4.024978119505767e+17,7.97,7.58,1935.0,Gaming
-5.121985407493702e+18,5.78,8.18,4298.0,Streaming
4.153455510625196e+18,3.31,8.82,1287.0,Streaming
-7.957246338600541e+18,2.17,1.4,2066.0,This is free text for App_Categories_Used
-3.825854652014237e+16,5.95,4.47,1704.0,Gaming
-4.81518517281805e+18,7.55,2.17,363.0,Mixed
7.40639819123339e+18,6.48,5.04,606.0,Gaming
1.4275701986930081e+18,5.8,7.14,8568.408662327181,Streaming
9.137170169926832e+18,2.92,6.37,2571.0,Mixed
-7.899479234684044e+18,4.5,5.39,1869.0,This is free text for App_Categories_Used
,3.55,8.05,,
7.5285765352352e+18,6.96,1.26,1149.0,Mixed
4.58894836760477e+18,6.89,9.73,4433.0,Streaming
2.247130410569134e+18,2.01,4.42,1887.0,Streaming
-8.123601388527466e+18,2.69,5.8,1432.0,Shopping
-7.376543994269083e+18,4.03,2.49,889.0,Mixed
-7.848170646350574e+18,4.1,2.69,2554.0,Streaming
,3.64,7.63,,
-5.585927585577702e+18,7.84,1.67,1956.0,Social Media
-5.780880180870601e+18,3.09,4.14,4714.0,Social Media
-7.448889674722196e+18,6.68,3.54,442.0,Streaming
-3.1647451663190574e+18,4.43,6.63,4074.0,Streaming
-4.0257112273407237e+18,7.73,4.89,576.0,Gaming
-6.733881620318906e+18,6.71,8.74,2337.0,Mixed
-1.1838080338088796e+18,2.36,1.59,1479.0,Mixed
-5.278391432935733e+18,,,8645.0,Gaming
,1.93,5.85,,
-2.9790162298866657e+18,7.65,6.04,4185.0,Streaming
2.67290718731948e+17,5.79,2.59,1878.0,Streaming
5.653871115264627e+18,7.97,4.31,4572.0,Social Media
-1.1443080293066529e+18,2.61,2.13,4423.0,Social Media
3.524805060353313e+18,7.01,3.4,1809.0,Social Media
4.118531868437493e+17,3.94,,2200.0,Gaming
-4.805387507446733e+18,3.09,,,Streaming
-5.606081260756557e+17,4.82,,1605.0,Gaming
-9.093300527474179e+17,7.34,1.37,,Shopping
-8.120870695561051e+18,5.93,2.24,1506.0,Gaming
7.293419522860294e+18,2.44,6.97,416.0,Mixed
-2.5620188518649595e+18,6.38,5.17,1523.0,Shopping
,6.93,2.96,,
5.309129831857369e+18,7.47,,,Social Media
-7.513393352775551e+18,6.74,13.071311212784417,3627.0,Streaming
1.7041603522999183e+18,6.77,2.47,2562.0,Social Media
-3.7277601200644214e+18,6.19,46.51,383.0,Shopping
1.3253401218747582e+17,3.42,8.75,4509.0,Social Media
5.044542099093647e+18,5.07,3.7,2476.0,Mixed
-6.884960875965213e+18,4.7,3.81,4948.0,Gaming
8.988848276235685e+18,7.94,2.27,7732.028931203258,Mixed
1.8054965273001325e+17,,3.33,1364.0,Social Media
1.2935325548615158e+18,2.66,9.13,3222.0,Social Media
7.182953917545577e+18,6.73,5.77,8291.827108182613,Streaming
-5.963861023223201e+18,6.26,8.98,396.0,Social Media
-1.7630722849287567e+18,7.32,2.3,225.0,Shopping
3.735573660085999e+18,7.08,7.96,1333.0,This is free text for App_Categories_Used
-5.100769421220705e+18,5.31,5.29,3288.0,Mixed
